name_7008#0,"""롯사"""
msn_011065_001_0010#0,"""롯사다.<br>잘 부탁한다."""
msn_011065_001_0020#0,"""내가 가르칠 수 있는건 “무기 강화”에 대한거야.""
msn_011065_001_0030#0,"""무기나 방어구는,<br>단련시키는걸로 성능이 좋아져 가."""
msn_011065_001_0040#0,"""즉 우리 아크스와 같단거지."""
msn_011065_001_0050#0,"""…아닌가?"""
msn_011065_001_0060#0,"""…아니구나."""
msn_011065_001_0070#0,"""아니, 아니지 않나...?"""
msn_011065_001_0080#0,"""강화에는 “강화 소재”라고 하는<br>다른 무기 같거랑 “N-글라인더”라는 게 필요해."""
msn_011065_001_0090#0,"""음 각각 모아와 줘...라기엔<br>뭔가 귀찮네."""
msn_011065_001_0100#0,"""이번엔 둘 다 줄테니<br>“아이템 랩”에서 강화해 봐."""
msn_011065_001_0401#0,"""프림 소드를 10개, N-글라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0402#0,"""프림 너클을10개, N-글라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0403#0,"""프림 라이플을 10개, N-글라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0404#0,"""프림 머신건을 10개, N-글라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0405#0,"""프림 로드를 10개, N-글라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0406#0,"""프림 완드 10개, N-글라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0501#0,"""프림 소드를 2개, N-글라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0502#0,"""프림 너클을 2개, N-글라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0503#0,"""프림 라이플을 2개, N-글라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0504#0,"""프림 머신건을 2개, N-글라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0505#0,"""프림 로드를 2개, N-글라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0506#0,"""프림 완드 2개, N-글라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0101#0,"""오, 잘 왔어!<br>전력은 언제나 환영이라고!"""
msn_011065_001_0102#0,"""계속 활약해줘!<br>기대하고 있다고!"""
msn_011065_001_0201#0,"""너, 착실하게 강해지고 있구나.<br>頼もしいぜ。"""
msn_011065_001_0202#0,"""크로퍼드도 감탄하는 것 같고.<br>뭐 그대로 계속 열심해 해줘!"""
